id,description
43,"323 - {color3} Pokemon also advertised in English as Pokemon the Series is a Japanese anime television series produced by the animation studio OLM Inc. in association with MediaNet and ShoPro based on the video game franchise by The Pokemon Company. It premiered on TV Tokyo on April 1 1997. The anime franchise consists of seven sequential series in Japan each based on a main installment of the Pokemon video game series. In the international broadcasts these series are split across 22 television seasons with a 23rd season scheduled to be streamed on Netflix in the United States on June 12 2020. Each of the series follows Ash Ketchum young trainer of fictional creatures called Pokemon. Joined by his partner Pokemon Pikachu and a rotating cast of human characters currently Goh Ash goes on a journey to become a "Pokemon Master" and compete in various Pokemon-battling tournaments called Pokemon Leagues"
44,"324 - {color4} Pokemon also advertised in English as Pokemon the Series is a Japanese anime television series produced by the animation studio OLM Inc. in association with MediaNet and ShoPro based on the video game franchise by The Pokemon Company. It premiered on TV Tokyo on April 1 1997. The anime franchise consists of seven sequential series in Japan each based on a main installment of the Pokemon video game series. In the international broadcasts these series are split across 22 television seasons with a 23rd season scheduled to be streamed on Netflix in the United States on June 12 2020. Each of the series follows Ash Ketchum young trainer of fictional creatures called Pokemon. Joined by his partner Pokemon Pikachu and a rotating cast of human characters currently Goh Ash goes on a journey to become a "Pokemon Master" and compete in various Pokemon-battling tournaments called Pokemon Leagues"
45,"331 - {color1} Death Note is a Japanese manga series written by Tsugumi Ohba and illustrated by Takeshi Obata. The story follows Light Yagami a teen genius who stumbles across a mysterious otherworldly notebook: the Death note which belonged to the Shinigami Ryuk and grants the user the supernatural ability to kill anyone whose name is written in its pages. The series centers around Light's subsequent attempts to use the Death Note to carry out a world-wide massacre of individuals whom he deems morally unworthy of life to change the world into a utopian society without crime using the alias of a god-like vigilante named "Kira" and the subsequent efforts of an elite task-force of law enforcement officers consisting of members of the Japanese police force led by L an enigmatic international detective whose past is shrouded in mystery to apprehend him and end his reign of terror. Death Note was first serialized in Shueisha's manga magazine Weekly Shōnen Jump from December 2003 to May 2006."
46,"332 - {color2} Death Note is a Japanese manga series written by Tsugumi Ohba and illustrated by Takeshi Obata. The story follows Light Yagami a teen genius who stumbles across a mysterious otherworldly notebook: the Death note which belonged to the Shinigami Ryuk and grants the user the supernatural ability to kill anyone whose name is written in its pages. The series centers around Light's subsequent attempts to use the Death Note to carry out a world-wide massacre of individuals whom he deems morally unworthy of life to change the world into a utopian society without crime using the alias of a god-like vigilante named "Kira" and the subsequent efforts of an elite task-force of law enforcement officers consisting of members of the Japanese police force led by L an enigmatic international detective whose past is shrouded in mystery to apprehend him and end his reign of terror. Death Note was first serialized in Shueisha's manga magazine Weekly Shōnen Jump from December 2003 to May 2006."
47,"333 - {color3} Death Note is a Japanese manga series written by Tsugumi Ohba and illustrated by Takeshi Obata. The story follows Light Yagami a teen genius who stumbles across a mysterious otherworldly notebook: the Death note which belonged to the Shinigami Ryuk and grants the user the supernatural ability to kill anyone whose name is written in its pages. The series centers around Light's subsequent attempts to use the Death Note to carry out a world-wide massacre of individuals whom he deems morally unworthy of life to change the world into a utopian society without crime using the alias of a god-like vigilante named "Kira" and the subsequent efforts of an elite task-force of law enforcement officers consisting of members of the Japanese police force led by L an enigmatic international detective whose past is shrouded in mystery to apprehend him and end his reign of terror. Death Note was first serialized in Shueisha's manga magazine Weekly Shōnen Jump from December 2003 to May 2006."
48,"334 - {color4} Death Note is a Japanese manga series written by Tsugumi Ohba and illustrated by Takeshi Obata. The story follows Light Yagami a teen genius who stumbles across a mysterious otherworldly notebook: the Death note which belonged to the Shinigami Ryuk and grants the user the supernatural ability to kill anyone whose name is written in its pages. The series centers around Light's subsequent attempts to use the Death Note to carry out a world-wide massacre of individuals whom he deems morally unworthy of life to change the world into a utopian society without crime using the alias of a god-like vigilante named "Kira" and the subsequent efforts of an elite task-force of law enforcement officers consisting of members of the Japanese police force led by L an enigmatic international detective whose past is shrouded in mystery to apprehend him and end his reign of terror. Death Note was first serialized in Shueisha's manga magazine Weekly Shōnen Jump from December 2003 to May 2006."
49,"401 - Brown PlayerUnknown's Battlegrounds is an online multiplayer battle royale game developed and published by PUBG Corporation a subsidiary of South Korean video game company Bluehole. The game is based on previous mods that were created by Brendan PlayerUnknown Greene for other games inspired by the 2000 Japanese film Battle Royale and expanded into a standalone game under Greene's creative direction. In the game up to one hundred players parachute onto an island and scavenge for weapons and equipment to kill others while avoiding getting killed themselves. The available safe area of the game's map decreases in size over time directing surviving players into tighter areas to force encounters. The last player or team standing wins the round. Battlegrounds was first released for Microsoft Windows via Steam's early access beta program in March 2017 with a full release in December 2017"
50,"402 - {color2} PlayerUnknown's Battlegrounds is an online multiplayer battle royale game developed and published by PUBG Corporation a subsidiary of South Korean video game company Bluehole. The game is based on previous mods that were created by Brendan PlayerUnknown Greene for other games inspired by the 2000 Japanese film Battle Royale and expanded into a standalone game under Greene's creative direction. In the game up to one hundred players parachute onto an island and scavenge for weapons and equipment to kill others while avoiding getting killed themselves. The available safe area of the game's map decreases in size over time directing surviving players into tighter areas to force encounters. The last player or team standing wins the round. Battlegrounds was first released for Microsoft Windows via Steam's early access beta program in March 2017 with a full release in December 2017"
51,"403 - {color3} PlayerUnknown's Battlegrounds is an online multiplayer battle royale game developed and published by PUBG Corporation a subsidiary of South Korean video game company Bluehole. The game is based on previous mods that were created by Brendan PlayerUnknown Greene for other games inspired by the 2000 Japanese film Battle Royale and expanded into a standalone game under Greene's creative direction. In the game up to one hundred players parachute onto an island and scavenge for weapons and equipment to kill others while avoiding getting killed themselves. The available safe area of the game's map decreases in size over time directing surviving players into tighter areas to force encounters. The last player or team standing wins the round. Battlegrounds was first released for Microsoft Windows via Steam's early access beta program in March 2017 with a full release in December 2017"
52,"404 - {color4} PlayerUnknown's Battlegrounds is an online multiplayer battle royale game developed and published by PUBG Corporation a subsidiary of South Korean video game company Bluehole. The game is based on previous mods that were created by Brendan PlayerUnknown Greene for other games inspired by the 2000 Japanese film Battle Royale and expanded into a standalone game under Greene's creative direction. In the game up to one hundred players parachute onto an island and scavenge for weapons and equipment to kill others while avoiding getting killed themselves. The available safe area of the game's map decreases in size over time directing surviving players into tighter areas to force encounters. The last player or team standing wins the round. Battlegrounds was first released for Microsoft Windows via Steam's early access beta program in March 2017 with a full release in December 2017"
53,"411 - {color1} God of War is an action-adventure game franchise created by David Jaffe at Sony's Santa Monica Studio. It began in 2005 on the PlayStation 2 video game console and has become a flagship title for the PlayStation brand consisting of eight games across multiple platforms. Based in ancient mythology the story follows Kratos a Spartan warrior who was tricked into killing his family by his former master the Greek God of War Ares. This sets off a series of events that leads to wars with the mythological pantheons. The Greek mythology era of the series sees Kratos follow a path of vengeance due to the machinations of the Olympian gods while the Norse mythology era which introduces his son Atreus as a secondary protagonist shows an older Kratos on a path of redemption which inadvertently brings the two into conflict with the Norse gods. Santa Monica has developed all main entries while Ready at Dawn and Javaground/Sony Online Entertainment-Los Angeles developed the three side games. genre:Action-adventure Hack and slash"
54,"412 - {color2} God of War is an action-adventure game franchise created by David Jaffe at Sony's Santa Monica Studio. It began in 2005 on the PlayStation 2 video game console and has become a flagship title for the PlayStation brand consisting of eight games across multiple platforms. Based in ancient mythology the story follows Kratos a Spartan warrior who was tricked into killing his family by his former master the Greek God of War Ares. This sets off a series of events that leads to wars with the mythological pantheons. The Greek mythology era of the series sees Kratos follow a path of vengeance due to the machinations of the Olympian gods while the Norse mythology era which introduces his son Atreus as a secondary protagonist shows an older Kratos on a path of redemption which inadvertently brings the two into conflict with the Norse gods. Santa Monica has developed all main entries while Ready at Dawn and Javaground/Sony Online Entertainment-Los Angeles developed the three side games. genre:Action-adventure Hack and slash"
55,"413 - {color3} God of War is an action-adventure game franchise created by David Jaffe at Sony's Santa Monica Studio. It began in 2005 on the PlayStation 2 video game console and has become a flagship title for the PlayStation brand consisting of eight games across multiple platforms. Based in ancient mythology the story follows Kratos a Spartan warrior who was tricked into killing his family by his former master the Greek God of War Ares. This sets off a series of events that leads to wars with the mythological pantheons. The Greek mythology era of the series sees Kratos follow a path of vengeance due to the machinations of the Olympian gods while the Norse mythology era which introduces his son Atreus as a secondary protagonist shows an older Kratos on a path of redemption which inadvertently brings the two into conflict with the Norse gods. Santa Monica has developed all main entries while Ready at Dawn and Javaground/Sony Online Entertainment-Los Angeles developed the three side games. genre:Action-adventure Hack and slash"
56,"414 - {color4} God of War is an action-adventure game franchise created by David Jaffe at Sony's Santa Monica Studio. It began in 2005 on the PlayStation 2 video game console and has become a flagship title for the PlayStation brand consisting of eight games across multiple platforms. Based in ancient mythology the story follows Kratos a Spartan warrior who was tricked into killing his family by his former master the Greek God of War Ares. This sets off a series of events that leads to wars with the mythological pantheons. The Greek mythology era of the series sees Kratos follow a path of vengeance due to the machinations of the Olympian gods while the Norse mythology era which introduces his son Atreus as a secondary protagonist shows an older Kratos on a path of redemption which inadvertently brings the two into conflict with the Norse gods. Santa Monica has developed all main entries while Ready at Dawn and Javaground/Sony Online Entertainment-Los Angeles developed the three side games. genre:Action-adventure Hack and slash"
57,"421 - {color1} Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the first main entry in the Grand Theft Auto series since 2008's Grand Theft Auto IV. Genre(s):Action-adventureMode(s):Single-player multiplayer"
58,"422 - {color2} Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the first main entry in the Grand Theft Auto series since 2008's Grand Theft Auto IV. Genre(s):Action-adventureMode(s):Single-player multiplayer"
59,"423 - {color3} Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the first main entry in the Grand Theft Auto series since 2008's Grand Theft Auto IV. Genre(s):Action-adventureMode(s):Single-player multiplayer"
60,"424 - {color4} Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the first main entry in the Grand Theft Auto series since 2008's Grand Theft Auto IV. Genre(s):Action-adventureMode(s):Single-player multiplayer"
61,"431 - Blue Cyberpunk is a subgenre of science fiction in a dystopian futuristic setting that tends to focus on a combination of low-life and high tech featuring advanced technological and scientific achievements such as artificial intelligence and cybernetics juxtaposed with a degree of breakdown or radical change in the social order. Much of cyberpunk is rooted in the New Wave science fiction movement of the 1960s and 1970s when writers like Philip K. Dick Roger Zelazny John Brunner J. G. Ballard Philip José Farmer and Harlan Ellison examined the impact of drug culture technology and the sexual revolution while avoiding the utopian tendencies of earlier science fiction. Comics exploring cyberpunk themes began appearing as early as Judge Dredd first published in 1977. Released in 1984 William Gibson's influential debut novel Neuromancer would help solidify cyberpunk as a genre drawing influence from punk subculture and early hacker culture"
62,"432 - Green Cyberpunk is a subgenre of science fiction in a dystopian futuristic setting that tends to focus on a combination of low-life and high tech featuring advanced technological and scientific achievements such as artificial intelligence and cybernetics juxtaposed with a degree of breakdown or radical change in the social order. Much of cyberpunk is rooted in the New Wave science fiction movement of the 1960s and 1970s when writers like Philip K. Dick Roger Zelazny John Brunner J. G. Ballard Philip José Farmer and Harlan Ellison examined the impact of drug culture technology and the sexual revolution while avoiding the utopian tendencies of earlier science fiction. Comics exploring cyberpunk themes began appearing as early as Judge Dredd first published in 1977. Released in 1984 William Gibson's influential debut novel Neuromancer would help solidify cyberpunk as a genre drawing influence from punk subculture and early hacker culture"
63,"433 - {color3} Cyberpunk is a subgenre of science fiction in a dystopian futuristic setting that tends to focus on a combination of low-life and high tech featuring advanced technological and scientific achievements such as artificial intelligence and cybernetics juxtaposed with a degree of breakdown or radical change in the social order. Much of cyberpunk is rooted in the New Wave science fiction movement of the 1960s and 1970s when writers like Philip K. Dick Roger Zelazny John Brunner J. G. Ballard Philip José Farmer and Harlan Ellison examined the impact of drug culture technology and the sexual revolution while avoiding the utopian tendencies of earlier science fiction. Comics exploring cyberpunk themes began appearing as early as Judge Dredd first published in 1977. Released in 1984 William Gibson's influential debut novel Neuromancer would help solidify cyberpunk as a genre drawing influence from punk subculture and early hacker culture"
64,"434 - {color4} Cyberpunk is a subgenre of science fiction in a dystopian futuristic setting that tends to focus on a combination of low-life and high tech featuring advanced technological and scientific achievements such as artificial intelligence and cybernetics juxtaposed with a degree of breakdown or radical change in the social order. Much of cyberpunk is rooted in the New Wave science fiction movement of the 1960s and 1970s when writers like Philip K. Dick Roger Zelazny John Brunner J. G. Ballard Philip José Farmer and Harlan Ellison examined the impact of drug culture technology and the sexual revolution while avoiding the utopian tendencies of earlier science fiction. Comics exploring cyberpunk themes began appearing as early as Judge Dredd first published in 1977. Released in 1984 William Gibson's influential debut novel Neuromancer would help solidify cyberpunk as a genre drawing influence from punk subculture and early hacker culture"
